AMD,Ahmedabad, IN - Sardar Vallabh Bhai Patel (AMD)
AUH,Abu Dhabi, AE - Abu Dhabi International Airport (AUH)
AKL,Auckland, NZ - Auckland (AKL)
IXA,Agartala, IN - Singerbhil (IXA)
AGX,Agatti Island, IN - Agatti (AGX)
AGR,Agra, IN - Kheria (AGR)
AJL,Aizawl, IN - Lengpui (AJL)
IXD,Allahabad, IN - Bamrauli (IXD)
ATQ,Amritsar, IN - Sri Guru Ram Dass Jee (ATQ)
IXU,Aurangabad, IN - Chikkalthana (IXU)
BLR,Bangalore, IN - Kempegowda International Airport (BLR)
BHO,Bhopal, IN - Raja Bhoj (BHO)
BBI,Bhubaneswar, IN - Biju Patnaik (BBI)
BKK,Bangkok, TH - Suvarnabhumi (BKK)
BAH,Bahrain, BH - Bahrain (BAH)
IXB,Bagdogra, IN - Bagdogra (IXB)
IXG,Belgaum, IN - Sambre (IXG)
BHU,Bhavnagar, IN - Bhavnagar (BHU)
BHJ,Bhuj, IN - Rudra Mata (BHJ)
GAY,Bodhgaya, IN - Gaya (GAY)
MAA,Chennai, IN - Chennai Airport (MAA)
IXC,Chandigarh, IN - Chandigarh (IXC)
CJB,Coimbatore, IN - Peelamedu (CJB)
CMB,Colombo, LK - Bandaranaike (CMB)
CHI,Chicago, US - All airports (CHI)
ORD,Chicago, US - O'Hare (ORD)
MDW,Chicago, US - Midway (MDW)
CAH,Ca Mau, VN - Ca Mau (CAH)
CAB,Cabinda, AO - Cabinda (CAB)
CFR,Caen, FR - Carpiquet (CFR)
DXB,Dubai, AE - All airports (DXB)
DOH,Doha, QA - Doha (DOH)
DAC,Dhaka, BD - Zia (DAC)
DED,Dehradun, IN - Jolly Grant (DED)
DHM,Dharamsala, IN - Gaggal (DHM)
DIB,Dibrugarh, IN - Mohanbari (DIB)
DMU,Dimapur, IN - Dimapur (DMU)
DIU,Diu, IN - Diu (DIU)
DTT,Detroit, US - All airports (DTT)
DTW,Detroit, US - Detroit Metro Wayne Cnty (DTW)
EDI,Edinburgh Airport, GB - Edinburgh (EDI)
YEG,Edmonton, CA - Edmonton (YEG)
YEA,Edmonton, CA - All airports (YEA)
ELS,East London, ZA - East London (ELS)
IPC,Easter Island, CL - Mataveri (IPC)
ZEM,Eastmain River, CA - Eastmain River (ZEM)
EAU,Eau Claire, US - Claire Municipal (EAU)
EOI,Eday, GB - Eday (EOI)
EDR,Edward River, AU - Pormpuraaw (EDR)
EGS,Egilsstadir, IS - Egilsstadir (EGS)
FRA,Frankfurt, DE - Frankfurt (FRA)
FNL,F, US - Fort Collins Loveland Muni (FNL)
VDB,Fagernes, NO - Leirin (VDB)
FIE,Fair Isle, GB - Fair Isle (FIE)
FAI,Fairbanks, US - Fairbanks (FAI)
LYP,Faisalabad, PK - Faisalabad (LYP)
FBD,Faizabad, AF - Faizabad (FBD)
FKQ,Fak Fak, ID - Fak Fak (FKQ)
EWB,Fall River/new Bedford, US - New Bedford Municipal (EWB)
FMH,Falmouth, US - Otis Angb (FMH)
GOI,Goa, IN - Dabolim Airport (GOI)
GAU,Guwahati, IN - Lokpriya Gopinath Bordoloi (GAU)
GOP,Gorakhpur, IN - Gorakhpur (GOP)
GWL,Gwalior, IN - Gwalior (GWL)
GAE,Gabes, TN - Gabes (GAE)
GBE,Gaborone, BW - Gaborone (GBE)
GAF,Gafsa, TN - Gafsa (GAF)
GNV,Gainesville, US - Gainesville Regional (GNV)
GPS,Galapagos Is, EC - Baltra (GPS)
GLK,Galcaio, SO - Galcaio (GLK)
HYD,Hyderabad, IN - Rajiv Gandhi International (HYD)
HKG,Hong Kong, CN - Hong Kong (HKG)
HBX,Hubli-dharwad, IN - Hubli (HBX)
HAQ,Haa Dhaalu Atoll, MV - Hanimaadhoo (HAQ)
HAC,Hachijojima, JP - Hachijojima (HAC)
AQI,Hafr Al-batin, SA - Qaisumah (AQI)
HFS,Hagfors, SE - Hagfors (HFS)
HHN,Hahn, DE - Frankfurt Hahn (HHN)
HFA,Haifa, Israel, IL - Haifa (HFA)
HAK,Haikou, CN - Haikou (HAK)
IDR,Indore, IN - Devi Ahilya Bai Holkar (IDR)
IMF,Imphal, IN - Tulihal (IMF)
IZM,Izmir, TR - All airports (IZM)
ADB,Izmir, TR - Adnan Menderes (ADB)
IAS,Iasi, RO - Iasi (IAS)
IBE,Ibague, CO - Perales (IBE)
IBZ,Ibiza, ES - Ibiza (IBZ)
IDA,Idaho Falls, US - Fanning Field (IDA)
IAA,Igarka, RU - Igarka (IAA)
IGG,Igiugig, US - Igiugig (IGG)
JAI,Jaipur, IN - Sanganeer (JAI)
JNB,Johannesburg, ZA - O R Tambo (JNB)
JED,Jeddah, SA - Jeddah (JED)
JLR,Jabalpur, IN - Jabalpur (JLR)
IXJ,Jammu, IN - Satwari (IXJ)
JGA,Jamnagar, IN - Govardhanpur (JGA)
JDH,Jodhpur, IN - Jodhpur (JDH)
JRH,Jorhat, IN - Rowriah (JRH)
JKT,Jakarta, ID - All airports (JKT)
CGK,Jakarta, ID - Soekarno Hatta (CGK)
CCU,Kolkata, IN - Netaji Subhas Chandra Bose Airport (CCU)
COK,Kochi, IN - Cochin International (COK)
KTM,Kathmandu, NP - Tribuvan (KTM)
KUL,Kuala Lumpur, MY - Kuala Lumpur (KUL)
KWI,Kuwait, KW - Kuwait (KWI)
IXY,Kandla, IN - Kandla (IXY)
KNU,Kanpur, IN - Chakeri (KNU)
HJR,Khajuraho, IN - Khajuraho (HJR)
KLH,Kolhapur, IN - Kolhapur (KLH)
CCJ,Kozhikode, IN - Kozhikode (CCJ)
LKO,Lucknow, IN - Amausi (LKO)
LON,London, GB - All airports (LON)
LTU,Latur, IN - Latur (LTU)
IXL,Leh, IN - Leh Kushok Bakula Rimpochee (IXL)
IXI,Lilabari, IN - Lilabari (IXI)
LUH,Ludhiana, IN - Ludhiana (LUH)
LBY,La Baule-escoublac, FR - Montoir (LBY)
LCE,La Ceiba, HN - Goloson (LCE)
LCG,La Coruna, ES - La Coruna (LCG)
LSE,La Crosse, US - La Crosse Municipal (LSE)
BOM,Mumbai, IN - Chatrapati Shivaji Airport (BOM)
MCT,Muscat, OM - Seeb (MCT)
MEL,Melbourne, AU - Tullamarine (MEL)
IXM,Madurai, IN - Madurai (IXM)
IXE,Mangalore, IN - Bajpe (IXE)
MYQ,Mysore, IN - Mysore (MYQ)
MIL,Milan, IT - All airports (MIL)
YMQ,Montreal, CA - All airports (YMQ)
MOW,Moscow, RU - All airports (MOW)
YUL,Montreal, CA - Pierre Elliott Trudeau (YUL)
DEL,New Delhi, IN - Indira Gandhi Airport (DEL)
NYC,New York, US - All airports (NYC)
NAG,Nagpur, IN - Dr. Babasaheb Ambedkar (NAG)
PGH,Nainital, IN - Pantnagar (PGH)
NDC,Nanded-waghala, IN - Nanded (NDC)
ISK,Nasik, IN - Gandhinagar (ISK)
NDJ,N Djamena, TD - N Djamena (NDJ)
NGE,N'gaoundere, CM - Ngaoundere (NGE)
NBX,Nabire, ID - Nabire (NBX)
NAN,Nadi, FJ - Nadi (NAN)
ORL,Orlando, US - Executive (ORL)
OSL,Oslo, NO - Oslo (OSL)
OSA,Osaka, JP - All airports (OSA)
ODM,Oakland, US - All airports (ODM)
OAK,Oakland, US - Metro Oakland (OAK)
OKY,Oakey, AU - Oakey (OKY)
OAM,Oamaru, NZ - Oamaru (OAM)
OAX,Oaxaca, MX - Xoxocotlan (OAX)
OBO,Obihiro, JP - Obihiro (OBO)
OBX,Obo, PG - Obo (OBX)
PNQ,Pune, IN - Lohegaon (PNQ)
PAT,Patna, IN - Lok Nayak Jayaprakash (PAT)
IXP,Pathankot, IN - Pathankot (IXP)
PNY,Pondicherry, IN - Pondicherry Airport (PNY)
PBD,Porbandar, IN - Porbandar (PBD)
IXZ,Port Blair, IN - Veer Savarkar (IXZ)
PAR,Paris, FR - All airports (PAR)
CDG,Paris, FR - Charles De Gaulle (CDG)
ORY,Paris, FR - Orly (ORY)
LBG,Paris, FR - Le Bourget (LBG)
JJN,Quanzhou, CN - Quanzhou (JJN)
ZQN,Queenstown, NZ - Frankton (ZQN)
NAQ,Qaanaaq, GL - Qaanaaq (NAQ)
JCH,Qasigiannguit, GL - Qasigiannguit (JCH)
JGO,Qeqertarsuaq Airport, GL - Qeqertarsuaq Heliport (JGO)
JIQ,Qianjiang, CN - Zhoubai (JIQ)
IQM,Qiemo, CN - Qiemo (IQM)
TAO,Qingdao, CN - Liuting (TAO)
IQN,Qingyang, CN - Qingyang (IQN)
SHP,Qinhuangdao, CN - Shanhaiguan (SHP)
IXR,Ranchi, IN - Birsa Munda (IXR)
RUH,Riyadh, SA - King Khaled (RUH)
RPR,Raipur, IN - Raipur (RPR)
RJA,Rajahmundry, IN - Rajahmundry (RJA)
RAJ,Rajkot, IN - Rajkot Civil (RAJ)
REW,Rewa, IN - Rewa (REW)
REK,Reykjavik, IS - All airports (REK)
RIO,Rio De Janeiro, BR - All airports (RIO)
ROM,Rome, IT - All airports (ROM)
KEF,Reykjavik, IS - Reykjavik Keflavik (KEF)
SXR,Srinagar, IN - Srinagar (SXR)
STV,Surat, IN - Surat (STV)
SHJ,Sharjah, AE - Sharjah (SHJ)
SFO,San Francisco, US - San Francisco (SFO)
SYD,Sydney, AU - Sydney Kingsford Smith (SYD)
SXV,Salem, IN - Salem (SXV)
SHL,Shillong, IN - Barapani (SHL)
SLV,Shimla, IN - Simla (SLV)
IXS,Silchar, IN - Kumbhigram (IXS)
SFQ,Sanliurfa, TR - All airports (SFQ)
TRV,Trivandrum, IN - Thiruvananthapuram (TRV)
TEZ,Tezpur, IN - Tezpur (TEZ)
TIR,Tirupati, IN - Tirupati (TIR)
TRZ,Trichy, IN - Tiruchirapally Civil (TRZ)
TCR,Tuticorin, IN - Tuticorin (TCR)
TCI,Tenerife, ES - All airports (TCI)
TYO,Tokyo, JP - All airports (TYO)
YTO,Toronto, CA - All airports (YTO)
TFS,Tenerife, ES - Reina Sofia (TFS)
TFN,Tenerife, ES - Tenerife Norte Los Rodeos (TFN)
UDR,Udaipur, IN - Maharana Pratap (UDR)
UAH,Ua Huka, PF - Ua Huka (UAH)
UAP,Ua Pou, PF - Ua Pou (UAP)
UBA,Uberaba, BR - Uberaba (UBA)
UDI,Uberlandia, BR - Ten Cel Av Cesar Bombonato (UDI)
UBP,Ubon Ratchathani, TH - Ubon Ratchathani (UBP)
UTH,Udon Thani, TH - Udon Thani (UTH)
UFA,Ufa, RU - Ufa (UFA)
UGO,Uige, AO - Uige (UGO)
UPG,Ujung Pandang, ID - Hasanudin (UPG)
BDQ,Vadodara, IN - Vadodara (BDQ)
VTZ,Visakhapatnam, IN - Vishakhapatnam (VTZ)
VNS,Varanasi, IN - Lal Bahadur Shastri (VNS)
YVR,Vancouver, CA - Vancouver (YVR)
VGA,Vijayawada, IN - Vijayawada (VGA)
VAA,Vaasa, FI - Vaasa (VAA)
VDS,Vadso, NO - Vadso (VDS)
FAE,Vagar, FO - Vagar (FAE)
EGE,Vail/eagle, US - Eagle County (EGE)
YVO,Val D''or, CA - Val d Or Municipal (YVO)
WAS,Washington, US - All airports (WAS)
BMY,Waala, NC - Belep Islands (BMY)
YWK,Wabush, CA - Wabush (YWK)
ACT,Waco, US - Madison Cooper (ACT)
CNW,Waco, US - Tstc Waco (CNW)
WAE,Wadi Ad Dawasir, SA - Wadi Ad Dawasir Airport (WAE)
WGA,Wagga-wagga, AU - Forrest Hill (WGA)
TMC,Waikabubak-sumba Island, ID - Tambolaka (TMC)
WGP,Waingapu, ID - Mau Hau (WGP)
NTQ,Wajima, JP - Noto (NTQ)
XMN,Xiamen, CN - Xiamen (XMN)
XIY,Xian, CN - Xianyang (XIY)
XFN,Xiangfan, CN - Xiangfan (XFN)
XIC,Xichang, CN - Qingshan (XIC)
XIL,Xilinhot, CN - Xilinhot (XIL)
ACX,Xingyi, CN - Xingyi (ACX)
XNN,Xining, CN - Xining Caojiabu (XNN)
XUZ,Xuzhou, CN - Xuzhou Guanyin (XUZ)
XKH,Phon Savan, LA - Xieng Khouang
CGO,Zhengzhou, CN - Xinzheng
RGN,Yangon, MM - Mingaladon (RGN)
BYC,Yacuiba, BO - Yacuiba (BYC)
YKM,Yakima, US - Yakima Terminal (YKM)
PYJ,Yakutia, RU - Poliarny (PYJ)
YKS,Yakutsk, RU - Yakutsk (YKS)
XMY,Yam Island, AU - Yam Island (XMY)
GAJ,Yamagata, JP - Yamagata (GAJ)
UBJ,Yamaguchi, JP - Yamaguchi Ube (UBJ)
ENY,Yan'an, CN - Yan'an (ENY)
YNZ,Yancheng, CN - Yancheng (YNZ)
ZRH,Zurich, CH - Zurich (ZRH)
ZNZ,Zanzibar, TZ - Kisauni (ZNZ)
ZCL,Zacatecas, MX - Zacatecas (ZCL)
ZAD,Zadar, HR - Zadar (ZAD)
ZAG,Zagreb, HR - Zagreb (ZAG)
ZAH,Zahedan, IR - Zahedan (ZAH)
ZTH,Zakinthos Is, GR - Zakinthos (ZTH)
ZAM,Zamboanga, PH - Zamboanga (ZAM)
ZAZ,Zaragoza, ES - Zaragoza Ab (ZAZ)
IAM,Zarzaitine, DZ - In Amenas (IAM)