AMD,32136,Ahmedabad, IN - Sardar Vallabh Bhai Patel (AMD),Gujarat
AUH,101509,Abu Dhabi, AE - Abu Dhabi International Airport (AUH),NA
AKL,100265,Auckland, NZ - Auckland (AKL),NA
AGR,32131,Agra, IN - Kheria (AGR),Uttar Pradesh
IXD,32188,Allahabad, IN - Bamrauli (IXD),Uttar Pradesh
ATQ,32257,Amritsar, IN - Sri Guru Ram Dass Jee (ATQ),Punjab
BLR,32550,Bangalore, IN - Kempegowda International Airport (BLR),Karnataka
BHO,32809,Bhopal, IN - Raja Bhoj (BHO),Madhya Pradesh
BBI,32815,Bhubaneswar, IN - Biju Patnaik (BBI),Orissa
BKK,100073,Bangkok, TH - Suvarnabhumi (BKK),NA
BHU,32771,Bhavnagar, IN - Bhavnagar (BHU),Gujarat
BHJ,32817,Bhuj, IN - Rudra Mata (BHJ),Gujarat
GAY,32903,Bodhgaya, IN - Gaya (GAY),Bihar
MAA,33070,Chennai, IN - Chennai Airport (MAA),Tamil Nadu
IXC,33013,Chandigarh, IN - Chandigarh (IXC),Chandigarh
CJB,33184,Coimbatore, IN - Peelamedu (CJB),Tamil Nadu
CMB,101528,Colombo, LK - Bandaranaike (CMB),NA
CHI,100153,Chicago, US - All airports (CHI),IL
ORD,100153,Chicago, US - O'Hare (ORD),IL
MDW,100153,Chicago, US - Midway (MDW),IL
CFR,101123,Caen, FR - Carpiquet (CFR),NA
DOH,101297,Doha, QA - Doha (DOH),NA
DIB,33390,Dibrugarh, IN - Mohanbari (DIB),Assam
DIU,33416,Diu, IN - Diu (DIU),Daman and Diu
DTT,100165,Detroit, US - All airports (DTT),MI
DTW,100165,Detroit, US - Detroit Metro Wayne Cnty (DTW),MI
EDI,115923,Edinburgh Airport, GB - Edinburgh (EDI),NA
ELS,101080,East London, ZA - East London (ELS),NA
EAU,100699,Eau Claire, US - Claire Municipal (EAU),WI
FRA,100301,Frankfurt, DE - Frankfurt (FRA),NA
FAI,100703,Fairbanks, US - Fairbanks (FAI),AK
FBD,33503,Faizabad, AF - Faizabad (FBD),Uttar Pradesh
FMH,114444,Falmouth, US - Otis Angb (FMH),MA
GAU,33762,Guwahati, IN - Lokpriya Gopinath Bordoloi (GAU),Assam
GWL,33763,Gwalior, IN - Gwalior (GWL),Madhya Pradesh
GAF,173356,Gafsa, TN - Gafsa (GAF),NA
GNV,118024,Gainesville, US - Gainesville Regional (GNV),TX
HYD,33897,Hyderabad, IN - Rajiv Gandhi International (HYD),Andhra Pradesh
HKG,100075,Hong Kong, CN - Hong Kong (HKG),NA
HFA,106165,Haifa, Israel,NA
IDR,33923,Indore, IN - Devi Ahilya Bai Holkar (IDR),Madhya Pradesh
IZM,101684,Izmir, TR - All airports (IZM),NA
ADB,101684,Izmir, TR - Adnan Menderes (ADB),NA
IAS,100593,Iasi, RO - Iasi (IAS),NA
IBE,132880,Ibague, CO - Perales (IBE),NA
IDA,100594,Idaho Falls, US - Fanning Field (IDA),ID
JAI,33968,Jaipur, IN - Sanganeer (JAI),Rajasthan
JED,101194,Jeddah, SA - Jeddah (JED),NA
JLR,33941,Jabalpur, IN - Jabalpur (JLR),Madhya Pradesh
IXJ,34013,Jammu, IN - Satwari (IXJ),Jammu and Kashmir
JGA,34015,Jamnagar, IN - Govardhanpur (JGA),Gujarat
JDH,34104,Jodhpur, IN - Jodhpur (JDH),Rajasthan
CCU,34600,Kolkata, IN - Netaji Subhas Chandra Bose Airport (CCU),West Bengal
COK,34571,Kochi, IN - Cochin International (COK),Kerala
KTM,37269,Kathmandu, NP - Tribuvan (KTM),NA
KLH,34599,Kolhapur, IN - Kolhapur (KLH),Maharashtra
LKO,34849,Lucknow, IN - Amausi (LKO),Uttar Pradesh
LON,100113,London, GB - All airports (LON),NA
LCE,101406,La Ceiba, HN - Goloson (LCE),NA
BOM,33719,Mumbai, IN - Chatrapati Shivaji Airport (BOM),Maharashtra
MEL,117239,Melbourne, AU - Tullamarine (MEL),FL
IXM,34881,Madurai, IN - Madurai (IXM),Tamil Nadu
IXE,35019,Mangalore, IN - Bajpe (IXE),Karnataka
MYQ,35284,Mysore, IN - Mysore (MYQ),Karnataka
MIL,100030,Milan, IT - All airports (MIL),NA
YMQ,100088,Montreal, CA - All airports (YMQ),QC
MOW,100044,Moscow, RU - All airports (MOW),NA
YUL,100088,Montreal, CA - Pierre Elliott Trudeau (YUL),QC
DEL,35485,New Delhi, IN - Indira Gandhi Airport (DEL),Delhi
NYC,100211,New York, US - All airports (NYC),NY
NAG,35320,Nagpur, IN - Dr. Babasaheb Ambedkar (NAG),Maharashtra
PGH,35334,Nainital, IN - Pantnagar (PGH),Uttaranchal
ORL,100221,Orlando, US - Executive (ORL),FL
OSL,100897,Oslo, NO - Oslo (OSL),NA
OSA,100262,Osaka, JP - All airports (OSA),NA
ODM,100216,Oakland, US - All airports (ODM),CA
OAK,100216,Oakland, US - Metro Oakland (OAK),CA
OAM,116265,Oamaru, NZ - Oamaru (OAM),NA
OAX,101796,Oaxaca, MX - Xoxocotlan (OAX),NA
PNQ,35943,Pune, IN - Lohegaon (PNQ),Maharashtra
PAT,35762,Patna, IN - Lok Nayak Jayaprakash (PAT),Bihar
IXP,35753,Pathankot, IN - Pathankot (IXP),Punjab
PNY,35890,Pondicherry, IN - Pondicherry Airport (PNY),Pondicherry
PBD,35903,Porbandar, IN - Porbandar (PBD),Gujarat
IXZ,35906,Port Blair, IN - Veer Savarkar (IXZ),Andaman and Nicobar Islands
PAR,100115,Paris, FR - All airports (PAR),NA
CDG,100115,Paris, FR - Charles De Gaulle (CDG),NA
ORY,100115,Paris, FR - Orly (ORY),NA
LBG,100115,Paris, FR - Le Bourget (LBG),NA
TAO,102651,Qingdao, CN - Liuting (TAO),NA
SHP,102654,Qinhuangdao, CN - Shanhaiguan (SHP),NA
IXR,36096,Ranchi, IN - Birsa Munda (IXR),Jharkhand
RPR,36007,Raipur, IN - Raipur (RPR),Chhattisgarh
RJA,36014,Rajahmundry, IN - Rajahmundry (RJA),Andhra Pradesh
RAJ,36034,Rajkot, IN - Rajkot Civil (RAJ),Gujarat
ROM,117765,Rome, IT - All airports (ROM),NY
SXR,36623,Srinagar, IN - Srinagar (SXR),Jammu and Kashmir
STV,36675,Surat, IN - Surat (STV),Gujarat
SFO,100241,San Francisco, US - San Francisco (SFO),CA
SYD,141882,Sydney, AU - Sydney Kingsford Smith (SYD),NSW
SXV,36252,Salem, IN - Salem (SXV),Tamil Nadu
SHL,36459,Shillong, IN - Barapani (SHL),Meghalaya
SFQ,139280,Sanliurfa, TR - All airports (SFQ),NA
TIR,36881,Tirupati, IN - Tirupati (TIR),Andhra Pradesh
TRZ,36873,Trichy, IN - Tiruchirapally Civil (TRZ),Tamil Nadu
TCR,135710,Tuticorin, IN - Tuticorin (TCR),Tamil Nadu
UDR,36928,Udaipur, IN - Maharana Pratap (UDR),Rajasthan
UBP,107911,Ubon Ratchathani, TH - Ubon Ratchathani (UBP),NA
UTH,101290,Udon Thani, TH - Udon Thani (UTH),NA
UFA,159657,Ufa, RU - Ufa (UFA),NA
BDQ,37035,Vadodara, IN - Vadodara (BDQ),Gujarat
VTZ,37154,Visakhapatnam, IN - Vishakhapatnam (VTZ),Andhra Pradesh
YVR,100091,Vancouver, CA - Vancouver (YVR),BC
VGA,37133,Vijayawada, IN - Vijayawada (VGA),Andhra Pradesh
VAA,100684,Vaasa, FI - Vaasa (VAA),NA
WAS,117650,Washington, US - All airports (WAS),NC
ACT,100057,Waco, US - Madison Cooper (ACT),TX
CNW,100057,Waco, US - Tstc Waco (CNW),TX
XMN,101624,Xiamen, CN - Xiamen (XMN),NA
XIY,102677,Xian, CN - Xianyang (XIY),NA
XIC,146931,Xichang, CN - Qingshan (XIC),NA
XUZ,114345,Xuzhou, CN - Xuzhou Guanyin (XUZ),NA
CGO,100740,Zhengzhou, CN - Xinzheng,NA
YKM,101822,Yakima, US - Yakima Terminal (YKM),WA
ZRH,100060,Zurich, CH - Zurich (ZRH),NA
ZNZ,101639,Zanzibar, TZ - Kisauni (ZNZ),NA
ZCL,100473,Zacatecas, MX - Zacatecas (ZCL),NA
ZAD,106004,Zadar, HR - Zadar (ZAD),NA
ZAG,101463,Zagreb, HR - Zagreb (ZAG),NA
ZAZ,100665,Zaragoza, ES - Zaragoza Ab (ZAZ),NA